"kusaal","english","tier","kus_article","en_article","alignment_origin"
"Temis ayʋobʋ bama,Gambia,Ghana, Guinea, Nigeria, Sierria Leone,Liberia nɛ Mauritnia anɛ sʋ'ʋlim nam banɛ bɛ ECOWAS pʋʋgin ka da mɔɔ ba la'asi di ligidi yinne.","The six member states of WAMZ are Gambia, Ghana, Guinea, Nigeria and Sierra Leone who founded the organisation together in 2000 and Liberia who joined on 16 February 2010.","silver","Economic community of West Africa States (ECOWAS)","ECOWAS","anchor-unsure"
"O saam anɛ Asafoatshe Ayah Tagoe, Eddie Tagoe kɛŋ London zamis nɔba nɛ nʋ'ʋs duta yela ka nyaan zamis sini maalig.","Eddie Tagoe was born Eddie Nii Afutu Tagoe to Chief Asafoatshe Ayah Tagoe.","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"O da paam sʋŋiri yi Ghana gɔmɛna ni ye o kɛŋ zamisi bɛ Royal Academy of Dramatic Art London sʋ'ʋlim.","He then received a grant from the government of Ghana to study at the Royal Academy of Dramatic Art in London.","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"Ba tɛnr Tagoe yela nɛ on da paasi maal sininam ayi banɛ an: As the hippie ""Presuming Ed"" yʋʋm tusir, kɔbiswai nɛ pisnii nɛ yɔpɔi (1987) nɛ Withnail and I, tʋʋm kanɛ ka o da pin'ili tʋm sini kan pʋʋgin yʋʋm tusayi la (2000); ka lɛn maali sini kanɛ ka o an kuomin faandi bɛ yʋʋm tusir, kɔbiswai nɛ pisnii nɛ yinne ka ba pʋd ye Raiders of the Lost Ark.","Tagoe is best-remembered for minor supporting roles in two film classics: As the hippie ""Presuming Ed"" in the 1987 film production of Withnail and I, a role that he resumed in 2000 in a stage production of the same work; and as one of the pirates in the 1981 movie Raiders of the Lost Ark.","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"Tagoe da yi sini kanɛ ka ba pʋd yʋ'ʋr ye, Who Is Killing the Great Chefs of Europe?","Tagoe had a significantly larger part in his film debut, Who Is Killing the Great Chefs of Europe?","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"(1978) la, ka lɛn an ""Chocolate Mousse"" yʋʋm tusir, kɔbiswai nɛ pisnasi nɛ anaasi (1984) sini kanɛ an, Top Secret!","(1978), and as ""Chocolate Mousse"" in the 1984 farce, Top Secret!.","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"Gwambe bɛ Baby: Secret of the Lost Legend (1985), nɛ The Dogs of War (1980), Pink Floyd The Wall (1982) nɛ Spaghetti House (1982).","He appeared in various other roles such as Sgt. Gwambe in Baby: Secret of the Lost Legend (1985), as well as The Dogs of War (1980), Pink Floyd The Wall (1982) and Spaghetti House (1982).","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"Tagoe mɛ paasi maal sininam bɛdigʋ bɛ British television ni, ba si'eba an Legacy of Murder, Prospects, nɛ The Bill, ka li kɛ ka nidib bɛdigʋ baŋ o bɛ British TV ni ye o anɛ sini maan.","Tagoe also appeared in episodes of a number of British television series, including Legacy of Murder, Prospects, and The Bill, becoming ""a well-known face on British television as an actor"".","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"In yʋʋm tusir, kɔbiswai nɛ piswai nɛ anu (1995) la, o da lɛb o nu'us nɛ nɔba laafi zamisig la pʋʋgin, ka ba gaŋ o ye o aan li tʋmtʋmi bɛ Newcastle United F.C.","In 1995, he returned to his original career choice when he was recruited to serve as team reflexologist for Newcastle United F.C.","gold","Eddie Tagoe","Eddie Tagoe","anchor-confident"
"O da paasi maal sininam bɛdigʋ wʋʋ ban da pʋd o Sgt.","He appeared in various other roles such as Sgt. Gwambe in Baby: Secret of the Lost Legend (1985), as well as The Dogs of War (1980), Pink Floyd The Wall (1982) and Spaghetti House (1982).","silver","Eddie Tagoe","Eddie Tagoe","anchor-unsure"
"Edward Abamire Bawa (n du'a Sibiddaar, 1 September, 1973) la anɛ Ghana Na'am nya'ad onɛ da Parliament kpeem Yinne ka nan paas ba ni n tit Bongo sʋ'ʋlimin n bɛ Upper East Ghana Teŋin n tisid Ma'asim tiig (NDC) la'asʋg la.","Edward Abambire Bawa (born 1 September 1973) is a Ghanaian politician who was a member of the Seventh Parliament of the Fourth Republic of Ghana and served as a member of the Eighth Parliament of the Fourth Republic of Ghana representing the Bongo (Ghana parliament constituency) in the Upper East Region of Ghana on the ticket of the National Democratic Congress.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abamire Bawa anɛ ka ba da du'a o ka o yit Bongo-Lungu n bɛ Upper East Ghana la.","Edward Abambire Bawa was born and hails from Bongo-Lungu in the Upper East Region of Ghana.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abamire Bawa da n sɔb akarimgaadtaaba 1886 linɛ da sʋŋ o ka o nyaŋ kasɛta gbana (O-ziesim) 1991 ni nɛ Tuon kasɛta gbauŋ (A-ziesim) 1993 ni.","Edward Abambire Bawa passed his Common Entrance Examination in 1986 which enabled him obtain his Ordinary Level(O – Level) in 1991 and Advanced Level(A – Level) in 1993.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abamire Bawa da tɔlisi keŋ Cape Coast University la ni yʋʋm 2002 ka lɛm keŋ Liverpool University la nii yʋʋm 2007 n zamis ligidi yela.","Edward Abambire Bawa proceeded to have his Bachelor of Education in Chemistry from the University of Cape Coast, Ghana in the year 2002, Master of Business Administration in Business Finance from the University of Liverpool in the year 2007, Certificate in Development Communications in the year 2012, Certificate in Risk Communications in the year 2014.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abambire Bawa anɛ tuongat tis pian'ad-pia'an Dunia wusa Ligid dɔɔgin Tʋʋma (kpaam nɛ nyɔ'ɔns tʋʋma) n bɛ Kpaam tʋʋma Lʋgir Accra la.","Edward Abambire Bawa is the Head of Communication for World Bank project (oil and gas capacity building project) of the Ministry of Petroleum in Accra, Ghana.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abambire da zien tis NDC kʋk la 2016 Bongo sʋ'ʋlim ka di.","Edward Abambire Bawa contested and won the 2016 NDC parliamentary primaries for Bongo Constituency in the Upper East Region of Ghana.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abambire Bawa da lɛm paam NDC kʋk la 2020 tis Bongo sʋ'ʋlim.","Edward Abambire Bawa again contested and won the 2020 NDC parliamentary primaries for Bongo Constituency in the Upper East Region of Ghana with 590 votes against Dr. Rainer Akumperigya who had 291 votes.","gold","Edward Abambire Bawa","Edward Abambire Bawa","anchor-confident"
"Edward Abambire Bawa yʋʋn anɛ MP nananna n tit Bongo teŋin Upper East Ghana ni Ma'asim Tiig na'am Lʋgir la.","Edward Abambire Bawa again contested and won the 2020 NDC parliamentary primaries for Bongo Constituency in the Upper East Region of Ghana with 590 votes against Dr. Rainer Akumperigya who had 291 votes.","silver","Edward Abambire Bawa","Edward Abambire Bawa","anchor-unsure"
"Edward Abambire Bawa anɛ Asie Nɔŋ suoya kpeem yinne.","Edward Abambire Bawa was a member of the Poverty Reduction strategy Committee.","silver","Edward Abambire Bawa","Edward Abambire Bawa","anchor-unsure"
"Akufo-Addo du'am yʋʋm anɛ 26 June 1906 bɛ Dodowa, Greater Accra Region tis o saam William Martin Addo-Danquah nɛ o ma Theodora Amuafi.","Akufo-Addo was born on 26 June 1906 at Dodowa in the Greater Accra Region to William Martin Addo-Danquah and Theodora Amuafi.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"O da kɛŋi o primary sakur nɛ bɛ Presbyterian Primary nɛ Middle Schools bɛ Akropong.","He had his primary education at Presbyterian Primary and Middle Schools at Akropong.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"O kɛŋi o kɔligi nɛ Presbyterian Training College, Akropong nɛ Abetifi Theological Training College.","He continued to Presbyterian Training College, Akropong and Abetifi Theological Training College.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"Ka 1929 ni, o kpɛn' Achimota College, dinɛ ka o da paam scholarship kɛŋ St Peter's College, Oxford.","In 1929, he entered Achimota College, where he won a scholarship to St Peter's College, Oxford.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"O da zamisnɛ mathematics, Politics nɛ Philosophy ka da naae nɛ kasɛta gbana bɛ philosophy nɛ politics bɛ1933 ni.","He studied mathematics, Politics and Philosophy and he went on to graduate with honours in philosophy and politics in 1933.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"Akufo-Addo ka ba da buol o bɛ Middle Temple Bar, London, UK, bɛ 1940 ni ka naami anina lɛb dinɛ ka ba buon ye Gold Coast la ye o pin'il private legal practice bɛ yʋʋm kan bɛ Accra.","Akufo-Addo was called to the Middle Temple Bar, London, UK, in 1940 and returned to what was then the Gold Coast to start a private legal practice a year later in Accra.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"1947 nii, o da an onɛ pin'il United Gold Coast Convention (UGCC) la ka da pɛ'ɛs ""Big Six"" la ni (ba yʋda nwa dɔlis dinɛ an si'em, Ebenezer Ako-Adjei, Joseph Boakye Danquah, Kwame Nkrumah, Emmanuel Obetsebi-Lamptey kɛ William Ofori Atta) ka ba da lɛbisid o nɛ nya'aŋ nɛ daamʋg bɛ Accra 1948 ni.","In 1947, he became a founding member of the United Gold Coast Convention (UGCC) and was one of the ""Big Six"" (the others being Ebenezer Ako-Adjei, Joseph Boakye Danquah, Kwame Nkrumah, Emmanuel Obetsebi-Lamptey and William Ofori Atta) detained after disturbances in Accra in 1948.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"Dinɛ yi 1949 ti paae 1950 ni, onɛ da pɛ'ɛs Gold Coast Legislative Council nɛ Coussey Constitutional Commission.","From 1949 to 1950, he was a member of the Gold Coast Legislative Council and the Coussey Constitutional Commission.","gold","Edward Akufo-Addo","Edward Akufo-Addo","anchor-confident"
"Edward Kaale-Ewola Dery (Ba da du'a o nɛ yʋʋm tusir, kɔbiswai nɛ pisyuobʋ nɛ awai (6 March 1969) ka o da an Ghana pɔlitis nwɛ'ɛd ka da an wadmaani paas Seventh Parliament of the Fourth Republic of Ghana zi'eni tis Lambussie Constituency bɛ Upper West Region sʋ'ʋlim ma'asim tiig na'adɔɔg, National Democratic Congress nɔba zug.","Edward Kaale-Ewola Dery (born 6 March 1969) is a Ghanaian politician and member of the Seventh Parliament of the Fourth Republic of Ghana representing the Lambussie constituency in the Upper West Region, on the ticket of the National Democratic Congress.","gold","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-confident"
"O yinɛ Kpare bɛ Upper West region sʋ'ʋlim, Ghana.","He hails from Kpare in the Upper West region of Ghana.","gold","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-confident"
"Dery da maalnɛ diploma, University of Professional Studies.","Dery earned a diploma from University of Professional Studies.","gold","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-confident"
"O da lɛm maal Certified Information Systems Auditor yʋʋm tusa ayi nɛ piinɛ ayi la ni (2012) bɛ US.","He also graduated as a Certified Information Systems Auditor in 2012 in the United States.","gold","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-confident"
"Wadmaan (January 7, 2013–present; 2nd term)","Member of Parliament (7 January 2013–present; 2nd term)","gold","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-confident"
"Ba da Dery nɛ yʋʋm tusir, kɔbiswai nɛ pisyuobʋ nɛ awai (6 March 1969).","Dery was born on 6 March 1969.","silver","Edward Kaale-Ewola Dery","Edward Kaale-Ewola Dery","anchor-unsure"
"Edward Nasigrie Mahama du'am dabisir anɛ yʋʋm tusir, kɔbʋs wai nɛ pisnaasi nɛ anu la nwadis anaasi, dabisa piiga nɛ anu la ni (born 15 April 1945) o anɛ dʋa'ata ka lɛn an pɔlitis na'anya'ad.","Edward Nasigrie Mahama (born 15 April 1945) is a Ghanaian medical doctor and politician.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Saŋakan la, o da lɛn anɛ onɛ pa'an ziim dɔɔgin paalig bɛ Northwestern University.","During this period, he was also a Clinical Instructor at Northwestern University.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Yʋʋm tusir, kɔbʋs wai nɛ piswai la (1990), ba da gaŋ Mahama ye o an pa'an-pa'an bɛ University of Ghana Medical School dʋa'atanam sakurin la, ka lɛn an onana), yʋʋm tusir, kɔbʋs wai nɛ pisnaasi nɛ anu la (1945).","In 1990, Mahama was appointed a lecturer at the University of Ghana Medical School and consultant at the Korle Bu Teaching Hospital in Accra.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Mahama da kɛŋ sakur nɛ Nalerigu Primary and Middle School lin yi yʋʋm tusir, kɔbʋs wai nɛ pisnu nɛ atan' la, kɛŋ paae yʋʋm tusir, kɔbʋs wai nɛ pisnu nɛ awai la ni (1953 to 1959).","Born in the village of Sumniboma (northern Ghana) in 1945, Mahama attended Nalerigu Primary and Middle School from 1953 to 1959.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"O da tɔlis nɛ kɛŋ kpɛɛmnam sakur kanɛ an Secondary School bɛ Tamale sʋ'ʋlim, lin yi yʋʋm tusir, kɔbʋs wai nɛ pisyuobu nɛ yinne, paae yʋʋm tusir, kɔbʋs wai nɛ pisyuobu nɛ yinne (1961 to 1965).","He then attended Secondary School in Tamale from 1961 to 1965.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Yʋʋm kan pʋʋgin ka o da tɔlisi kɛŋ University of Ghana bɛ Legon la ka naae sakur kan yʋʋm tusir, kɔbʋs wai nɛ pisyɔpɔi nɛ ayi' la (1972) nɛ kasɛta gbaʋŋ kanɛ pa'al ye o anɛ dua'ata.","Later that year, he was admitted to the University of Ghana in Legon and graduated in 1972 with a medical degree.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Mahama da lɛb Nalerigu yʋn an dua'ata nɛ yʋʋm tusir, kɔbʋs wai nɛ pisyɔpɔi nɛ atan' la, nwadis awai la ni (September 1973), ka li yʋʋma anaasi nya'aŋ ka o bas Ghana ka kɛŋ na'asaatɛŋ kanɛ buon Chicago, Illinois tʋm tʋʋm kanɛ an pʋ'adʋas bɛɛ biisdʋ'am yɛla (Obstetrics and Gynecology) ka banɛ bɛn'ɛd wɛn'ɛdʋ suora ka ba buon ye consultant bɛ Accra's Korle Bu Teaching Hospital.","Mahama went back to Nalerigu as a medical doctor in September 1973 and four years later, he left Ghana to become an Obstetrics and Gynecology Physician in Chicago, Illinois.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Ba da gaŋʋ ye o paas banɛ an ya'tuona ninsabilis teŋ banɛ gɔsid pʋ'adʋ'asʋg yɛla (West African College of Surgeons) yʋʋm tusir, kɔbʋs wai nɛ piswai nɛ anaasi la (1994).","He was elected a fellow of the West African College of Surgeons in 1994.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Yʋʋm tusir, kɔbʋs wai nɛ piswai nɛ ayuobu la (1996), on da zi'en nya'a Ghana zugraan na'am, zi'enɛ na'adɔɔg kanɛ an People's National Convention (PNC) la, nidib biela da tɔn'ɔ tis o, ka ba da anɛ atan' yit kɔbʋga pʋʋgin (3.0%) banɛ da tɔn'ɔ la wʋsa.","In 1996, running as the presidential candidate of the People's National Convention (PNC), he received 3.0% of the vote.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Banɛ da tiebid ye ba nya'a na'am yʋʋm tusa ayi' nɛ anaasi la (2004 presidential election), na'adɔɔg PNC nɛ ba taaba ayi' banɛ an – Every Ghanaian Living Everywhere (EGLE) nɛ Great Consolidated Popular Party (GCPP) – da la'as taaba ka buoli ba mɛŋ ye Grand Coalition ka gaŋ Mahama ye o gaadi ba tuoni an kʋgdaan tisi ba na'adɔɔg la.","In preparation for the 2004 presidential election, the PNC and two other parties – Every Ghanaian Living Everywhere (EGLE) and the Great Consolidated Popular Party (GCPP) – formed an alliance known as the Grand Coalition and chose Mahama as its presidential candidate.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Mahama da lɛn paam gaŋir ye o gaad na'adɔɔg kanɛ buon PNC la tuoni nya'a na'am yʋʋm tʋsa ayi' nɛ anii, nwadis piiga nɛ ayi' la dabisa ayɔpɔi da'ar vɔɔtʋg la (December 7, 2008 presidential elections).","Mahama was elected as the candidate for the PNC for the December 7, 2008 presidential elections.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Edward Mahama da kɔ'ɔŋ ya'an nɛ on nan an ba na'adɔɔg PNC kugdaan tis nɛ Hassan Ayariga yʋʋm tusa ayi' nɛ piiga nɛ ayi' na'am nya'ab yʋʋŋ la (2012 general election).","Edward Mahama lost the position of presidential candidate of the PNC to Hassan Ayariga in the run up to the 2012 general election.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Ayariga da kɔ'ɔŋ la o da bas PNC kɛŋ pin'il o mɛŋ na'adɔɔg kanɛ buon All People's Congress (APC) la.","After the defeat, Ayariga left the PNC to form another party, the All People's Congress (APC).","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Nannanna Edward Mahama anɛ kpɛɛm kanɛ ka gɔmina gaŋ yɛ o gɔs Ghana nɛ tɛŋ zʋmis belim sʋŋ yɛla (Ghana's Ambassador-at-Large).","Edward Mahama is currently Ghana's Ambassador-at-Large.","gold","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Ba da du'a' o nɛ tɛŋkpɛŋ kanɛ an Sumniboma (northern Gh.","Born in the village of Sumniboma (northern Ghana) in 1945, Mahama attended Nalerigu Primary and Middle School from 1953 to 1959.","silver","Edward Nasigrie Mahama","Edward Mahama","anchor-unsure"
"Abuyi' daan ka o da nya'a na'am la da anɛ yʋʋm tusayi' la ni (2000), saŋkan ka o da paam nidib ayi' nɛ pʋdigir anu kɔbʋga pʋʋgin (2.5%) banɛ da tɔn'ɔ la wʋsa.","In his second attempt at the presidency, in 2000, he won 2.5% of the vote.","silver","Edward Nasigrie Mahama","Edward Mahama","anchor-unsure"
"Li da an wʋʋ nid yinne nɛ pʋdigir awai kɔbʋga pʋʋgin (1.9%), da tɔn' tis o, banɛ da vote la wʋsa.","He placed third out of four candidates, winning 1.9% of the vote.","silver","Edward Nasigrie Mahama","Edward Mahama","anchor-unsure"
"Nɛ wala o da lɛn di' ya'ani yii Ayariga nuusin, da an ba kugdaani nya'a yʋʋm tusa ayi' nɛ piiga nɛ ayuobʋ na'am nya'ab saŋa la (2016 election).","However, he won the position back from Ayariga for the 2016 election.","silver","Edward Nasigrie Mahama","Edward Mahama","anchor-confident"
"Mahama mɔr pʋ'a nɛ biisa anaasi.","Mahama is married and the father of four children.","silver","Edward Nasigrie Mahama","Edward Mahama","anchor-unsure"
"John Dramani Mahama na'am saŋa, o da anɛ Minister of Youth and sports ka mɛ an deputy minister of Trade and industry.","He served as Minister of Youth and Sports and as Deputy Minister of Trade and Industry in the John Dramani Mahama's government.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"O da keŋnɛ Bechem Presbyterian dap Secondary sakurin la n nɛ Mfantsipim sakurin, Cape Coast.","He is an alumnus of Bechem Presbyterian Boys' Secondary School and Mfantsipim School, Cape Coast.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"O sanlɛ master degree government nɛ Leadership nyi Ghana institute of Management nɛ public Administration (GIMPA) nɛ B.A. Na'asaalin Pian'ad gbauŋin, Philosophy nɛ Classics nyit University of Ghana la ni.","He holds a master's degree in Governance & Leadership from the Ghana Institute of Management and Public Administration (GIMPA) and a B.A. in English, philosophy and classics from the University of Ghana.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Lin yi 1990 ti paae 2004 la, o tʋmnɛ Ghana Broadcasting Corporation zi'ig kanɛ ka o da lieb Deputy head of Sports.","From 1990 to 2004, he worked at the Ghana Broadcasting Corporation, where he became the Deputy Head of Sports.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Yʋʋm tusa ayi nɛ anu(2005) la nɛ yʋʋm tusa ayi nɛ aii (2008) la, onɛ da tuongad tit sports n bɛ Network Broadcasting Limited la.","Between 2005 and 2008, he was the Head of Sports at Network Broadcasting Limited.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"O da anɛ onɛ bɛ o gʋnne ka an director of Operations n bɛ presidency Atta Mills na'amin ka mɛ an deputy minister tis Trade and Industry John Mahama saŋa.","He was a special aide and director of operations at the presidency under former President of Ghana President Mills and also the former Deputy Minister for Trade and Industry under John Mahama.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Ba da vooti gaŋ o MP linɛ an 2012 vootʋg la, zi'ig kanɛ ka onɛ Nwabʋg paati nid Victor Okaikoi da li'ad na'am la.","He was elected as MP during the 2012 elections, where he faced off against Victor Okaikoi of the New Patriotic Party.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Samanpiid Nwadig la ni 2016, o da lɛn di na'am la n lieb Parliament nidi tis Odododiodio constituency la nɛ vootʋg kanl 36,606 linɛ zi'e tis 57.04% la.","In December 2016, he was retained as the member of Parliament for the Odododiodio Constituency with 36,606 votes, representing 57.04% against his closest contender, the New Patriotic Party, whose candidate had 26,671 votes, representing 41.56%.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"O da tʋʋmnɛ Parliament n an Ranking member linɛ anɛ Local Government nɛ Rural Development Committee nɛ member on the Privileges Committee nɛ Appointment Committee la ni.","He served in Parliament as the ranking member on the Local Government and Rural Development Committee and as a member on the Privileges committee and Appointments committee.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Vaala Nwadig la March 2013 la ni, ba da gaŋ o ka o an Deputy minister for Trade and Industry John Mahama Na'am saŋa.","In March 2013, he was appointed as Deputy Minister for Trade and Industry under the John Mahama government.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"O da tʋmnɛ kpeŋ kan la ni hali ti paae 2014 ka tɔlisi keŋ lieb deputy minister for Local Government nɛ Rural Development la ti paae 2015.","He served in that role until 2014, when he was moved to serve as Deputy Minister for Local Government and Rural Development, where he served until 2015.","gold","Edwin Nii Lante Vanderpuye","Edwin Nii Lante Vanderpuye","anchor-confident"
"Li na'am kʋk bɛnɛ Sekyere East District pʋʋgin, linɛ bɛ Ashanti Region, Ghana sʋ'ʋlim la.","The seat is located within the Sekyere East District of the Ashanti Region of Ghana.","silver","Effiduase-Asokore Constituency","Effiduase-Asokore (Ghana parliament constituency)","anchor-unsure"
"Alex Afenya Markin anɛ Effutu constituency wadmaan, ka an wabʋg na'adɔɔg nid.","Alex Afenyo Markin is the member of parliament of Effutu constituency, he is on the ticket of NPP.","gold","Effutu Constituency","Effutu (Ghana parliament constituency)","anchor-confident"
"O da di'e kʋk la yinɛ Mike Allen onɛ da an ma'asim tiig na'adɔɔg nid ka da di nɛ vɔɔt kal 13,114 n lieb wadmaan la ni.","He took over from Mike Allen Hammah who was elected on the ticket of the National Democratic Congress (NDC) and won a majority of 13,114 votes to become the MP.","gold","Effutu Constituency","Effutu (Ghana parliament constituency)","anchor-confident"
"Samuel owusu Agyei onɛ da an wabʋg na'adɔɔg nid ka da zi'en tis constituency bɛ, wadmaanib yir linɛ da paas anaasi la ni la, da sig ya ka o di'e.","He succeeded Samuel Owusu Agyei who had represented the constituency in the 4th Republic parliament on the ticket of the New Patriotic Party (NPP).","gold","Effutu Constituency","Effutu (Ghana parliament constituency)","anchor-confident"
"Ejisu constituency bɛnɛ Ejisu-Juaben Municipal District bɛ Ashanti Region sʋ'ʋlim, Ghana.","Ejisu is located in the Ejisu-Juaben Municipal District of the Ashanti Region of Ghana.","gold","Ejisu Constituency","Ejisu (Ghana parliament constituency)","anchor-confident"
"Li na'am kʋk la bɛnɛ Ejura-Sekyedumase District pʋʋgin, Ashanti Region linɛ bɛ Ghana sʋ'ʋlim la.","The seat is located within the Ejura–Sekyedumase District of the Ashanti Region of Ghana.","gold","Ejura-Sekyedumase Constituency","Ejura-Sekyedumase (Ghana parliament constituency)","anchor-confident"
"Li tɔdnɛ titɔdig nɛ Mampong Constituency, Nkoranza south constituency nɛ Atebubu Amantin constituency.","It shares boundaries with Mampong Constituency, Nkoranza south constituency and Atebubu Amantin constituency respectively.","gold","Ejura-Sekyedumase Constituency","Ejura-Sekyedumase (Ghana parliament constituency)","anchor-confident"
"Ejura-Sekyedumase constituency bɛnɛ Ejura-Sekyedumase districti bɛ Ashanti Region sʋ'ʋlim, Ghana.","Ejura-Sekyedumase is located in the Ejura-Sekyedumase district of the Ashanti Region of Ghana.","silver","Ejura-Sekyedumase Constituency","Ejura-Sekyedumase (Ghana parliament constituency)","anchor-unsure"
"Ekow Hayford (Ba da du'a o nɛ yʋʋm tusir, kɔbiswai nɛ pisyɔpɔi nwadis piinɛ ayi la dabpisi nɛ anaasi daar (24 December 1970 ka o maal ka'alim yʋʋm tusa ayi nɛ pisi nwadis piiga daba awai daar (9 October 2020) o da anɛ Ghana pɔlitis nwɛ'ɛd ka da lɛn an wadmaani paas Seventh Parliament of the Fourth Republic of Ghana zi'eni tis Mfantseman Constituency bɛ Central Region la Wabʋg Na'adɔɔg, New Patriotic Party (NPP) nɔba zug.","Ekow Hayford (24 December 1970 – 9 October 2020) was a Ghanaian politician and member of the Seventh Parliament of the Fourth Republic of Ghana representing the Mfantseman Constituency in the Central Region on the ticket of the New Patriotic Party (NPP).","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"Ba da kʋʋ o nɛ yʋʋm tusa ayi nɛ pisi nwadis piiga la daba awai daar (9 October 2020) O da lɛn anɛ chief executive officer tis Apam Football Club.","He was also the chief executive officer of Apam Football Club.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"Ba da dʋ'a Hayford yʋʋm tusir, kɔbiswai nɛ pisyɔpɔi nwadis piinɛ ayi la dabpisi nɛ anaasi daar (24 December 1970) Mankessim, Central Region sʋ'ʋlim, Ghana.","Hayford was born on 24 December 1970 in Mankessim, Central Region of Ghana.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"On ma'aa da aan o ma, Madam Mena Aba Attah biig.","He was the only child of his mother, Madam Mena Aba Attah.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"O da mɔrnɛ Bachelor of Business Administration degree yi Methodist University College.","He held a Bachelor of Business Administration degree from the Methodist University College.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"O da lɛm mɔr Master of Business Administration (Supply Chain Management) degree yi Ghana Institute of Management and Public Administration (GIMPA).","He also held a Master of Business Administration (Supply Chain Management) degree from the Ghana Institute of Management and Public Administration (GIMPA).","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"Hayford's yiiga tʋʋma da bɛnɛ Ghana Police Service, ani ka o da tʋm yʋʋm tusir, kɔbiswai nɛ piswai nɛ atan (1993) paae yʋʋm tusir, kɔbiswai nɛ piswai nɛ anii (1998).","Hayford's first career was in the Ghana Police Service, in which he served from 1993 to 1998.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
"O da dɔlis kpɛma la ti paae Corporal.","He rose to the rank of Corporal.","gold","Ekow Hayford","Ekow Hayford","anchor-confident"
